Category_TH,Category_EN,Material_TH,Material_EN,Unit,EF_Range,EF_Default,Lifespan_Cycles,Standard_Weight_kg,Note_TH
บรรจุภัณฑ์หลัก (กล่อง/ภาชนะ),Primary Packaging,ตะกร้าพลาสติกขนส่ง (HDPE - Dutch bucket style),Plastic Transport Basket (HDPE),kg CO2e / kg วัสดุ,1.8 - 2.5,2.5,50 - 100 รอบ,1.20 - 1.80 kg / ใบ,ใช้ซ้ำได้หลายรอบ นิยมใช้แช่น้ำส่งดอกไม้ก้านยาว เช่น กุหลาบ ลิลลี่
บรรจุภัณฑ์หลัก (กล่อง/ภาชนะ),Primary Packaging,กล่องกระดาษลูกฟูก (เยื่อใหม่ Virgin),Corrugated Box (Virgin Pulp),kg CO2e / kg วัสดุ,0.91 - 1.14,1.05,1 รอบ (ใช้ครั้งเดียว),0.30 - 0.70 kg / กล่อง,น้ำหนักขึ้นอยู่กับขนาดกล่องและความหนาของลอน
บรรจุภัณฑ์หลัก (กล่อง/ภาชนะ),Primary Packaging,กล่องกระดาษลูกฟูก (เยื่อรีไซเคิล Recycled),Corrugated Box (Recycled Pulp),kg CO2e / kg วัสดุ,0.73 - 0.82,0.82,1 รอบ (ใช้ครั้งเดียว),0.30 - 0.70 kg / กล่อง,เป็นมิตรต่อสิ่งแวดล้อมมากกว่า แต่ความแข็งแรงต่อความชื้นลดลงเล็กน้อย
วัสดุห่อหุ้มและกันกระแทก,Wrapping & Cushioning,แผ่นพลาสติกใส/ซองห่อช่อดอกไม้ (OPP / PE Film),Clear Plastic Wrapping Sleeve (OPP / PE Film),kg CO2e / kg วัสดุ,2.0 - 3.5,2.5,1 รอบ (ใช้ครั้งเดียว),0.005 - 0.015 kg / แผ่น,ใช้ห่อช่อดอกไม้เพื่อความสวยงามและป้องกันกลีบดอกช้ำ
วัสดุห่อหุ้มและกันกระแทก,Wrapping & Cushioning,ถุงพลาสติกหูหิ้ว/ถุงคุมอุณหภูมิ (LDPE),Plastic Bag (LDPE),kg CO2e / kg วัสดุ,2.0 - 3.0,2.2,1 รอบ (ใช้ครั้งเดียว),0.010 - 0.040 kg / ใบ,ใช้ใส่กำดอกไม้ขายส่ง หรือรองก้นตะกร้าเพื่อขังน้ำ
วัสดุห่อหุ้มและกันกระแทก,Wrapping & Cushioning,กระดาษคราฟท์ห่อช่อ / กระดาษรังผึ้งกันกระแทก,Kraft Wrapping Paper / Honeycomb Cushioning,kg CO2e / kg วัสดุ,0.70 - 0.95,0.85,1 รอบ (ใช้ครั้งเดียว),0.015 - 0.035 kg / แผ่น,วัสดุทดแทนพลาสติกยอดนิยมสำหรับแบรนด์รักษ์โลก
วัสดุห่อหุ้มและกันกระแทก,Wrapping & Cushioning,กระดาษหนังสือพิมพ์ / กระดาษฉีกรองก้นกล่อง,Newsprint / Shredded Paper Filler,kg CO2e / kg วัสดุ,0.50 - 0.73,0.65,1 รอบ (ใช้ครั้งเดียว),0.050 - 0.150 kg / กล่อง,ใช้ขยำรองก้นกล่องหรือห่อหุ้มกำดอกไม้เพื่อซับความชื้น
วัสดุผูกยึดและปิดผนึก,Fastening & Sealing,เทปกาวพลาสติกปิดกล่อง (OPP Tape),Plastic Packaging Tape (OPP),kg CO2e / เมตร,0.01 - 0.03,0.02,1 รอบ (ใช้ครั้งเดียว),0.002 - 0.005 kg / เมตร,คำนวณตามความยาวที่ใช้จริงต่อกล่อง (เฉลี่ยกล่องละ 1-2 เมตร)
วัสดุผูกยึดและปิดผนึก,Fastening & Sealing,เทปกาวกระดาษคราฟท์ (Kraft Paper Tape),Kraft Paper Packaging Tape,kg CO2e / เมตร,0.005 - 0.015,0.01,1 รอบ (ใช้ครั้งเดียว),0.002 - 0.004 kg / เมตร,ย่อยสลายง่าย รีไซเคิลพร้อมกล่องลูกฟูกได้เลย
วัสดุผูกยึดและปิดผนึก,Fastening & Sealing,เชือกฟางพลาสติก (PP Straw Rope),Plastic Straw Rope (PP),kg CO2e / เมตร,0.01 - 0.02,0.015,1 รอบ (ใช้ครั้งเดียว),0.001 - 0.003 kg / เมตร,นิยมใช้มัดกำดอกไม้สดและผูกกล่องขนส่งขนาดใหญ่
